frame,landmark_index,x,y,z,visibility
frame_000002.png,1,-0.013809,-0.62421,-0.17513,0.996744
frame_000002.png,2,-0.013616,-0.626877,-0.166424,0.996831
frame_000002.png,3,-0.014547,-0.627212,-0.168205,0.997398
frame_000002.png,4,-0.027663,-0.634939,-0.183225,0.998062
frame_000002.png,5,-0.02642,-0.635599,-0.194097,0.998523
frame_000002.png,6,-0.023181,-0.621141,-0.175629,0.99861
frame_000002.png,7,0.05931,-0.626509,-0.111659,0.998303
frame_000002.png,8,-0.048678,-0.592767,-0.076328,0.997248
frame_000002.png,9,0.006788,-0.595792,-0.137708,0.998104
frame_000002.png,10,-0.025426,-0.565971,-0.15459,0.997935
frame_000002.png,11,0.178166,-0.51657,-0.011775,0.99981
frame_000002.png,12,-0.108917,-0.599913,0.072291,0.999511
frame_000002.png,13,0.373006,-0.611387,-0.043834,0.98338
frame_000002.png,14,-0.293574,-0.610765,-0.016409,0.943143
frame_000002.png,15,0.555788,-0.676046,-0.081344,0.992035
frame_000002.png,16,-0.47451,-0.726062,-0.143133,0.971185
frame_000002.png,17,0.597681,-0.699398,-0.090681,0.986899
frame_000002.png,18,-0.494307,-0.758258,-0.190464,0.957889
frame_000002.png,19,0.585866,-0.708813,-0.120215,0.989496
frame_000002.png,20,-0.47357,-0.794074,-0.213464,0.963005
frame_000002.png,21,0.565525,-0.66228,-0.101261,0.988322
frame_000002.png,22,-0.478296,-0.741111,-0.162225,0.962374
frame_000002.png,23,0.083738,0.0037,0.009716,0.999942
frame_000002.png,24,-0.080616,-0.007872,-0.006481,0.999926
frame_000002.png,25,0.080773,0.415649,-0.024177,0.872201
frame_000002.png,26,-0.041332,0.357215,-0.005969,0.857651
frame_000002.png,27,0.05865,0.777578,0.142872,0.906804
frame_000002.png,28,-0.050716,0.737119,0.15426,0.915579
frame_000002.png,29,0.032587,0.810426,0.161122,0.711205
frame_000002.png,30,-0.050408,0.770855,0.128703,0.746186
frame_000002.png,31,0.023336,0.822219,0.094468,0.914967
frame_000002.png,32,-0.07489,0.785736,0.051281,0.907181
frame_000003.png,0,-0.021538,-0.601379,-0.168178,0.999147
frame_000003.png,1,-0.00339,-0.620294,-0.171573,0.996214
frame_000003.png,2,-0.003111,-0.623232,-0.162637,0.996307
frame_000003.png,3,-0.004108,-0.623226,-0.164443,0.996968
